event,page_count
DINNE,4
BREAKFAST,2
,2
DINNER,4
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
DINNER,2
LUNCH,2
FIFTH ANNUAL REUNION,4
LUNCH,2
TWENTY-NINTH ANNUAL DINNER,8
DINNER,2
SUNDAY DINNER,2
LUNCH;,2
SECOND ANNUAL DINNER,2
BREAKFAST,2
LUNCHEON,2
LUNCHEON,2
BREAKFAST,2
LUNCH & DINNER,4
SUPPER,2
LUNCHEON,2
DINNER,2
DINNER,2
FEST-BANKETT,2
BREAKFAST,4
DINNER,4
BREAKFAST,2
BREAKFAST,2
LUNCH,2
DINNER,2
BREAKFAST,2
DAILY MENU,4
LUNCH,2
DINNER,2
LUNCH,2
LUNCH,2
BREAKFAST,2
BREAKFAST,2
SOUPER,2
LUNCHEON,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,2
,4
,2
,2
,4
,2
,2
,2
,2
,6
,2
,2
,2
,4
,2
,2
,2
,8
,4
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,4
,2
,4
,4
,7
,2
,4
,8
,4
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,4
,4
,4
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
DAILY MENU,2
A LA CARTE MENU,4
DINNER,2
BREAKFAST,2
BREAKFAST,2
TIFFIN,2
LUNCH,2
BANQUET,4
[DINNER],4
BREAKFAST,2
TIFFIN,2
BREAKFAST,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
DNNER,2
LUNCH,2
DINNER,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCH,2
DINNWE,4
LUNCH,2
DAILY MENU,2
LUNCHEON,2
MENU,2
BILL OF FARE,2
PERSONALLY CONDUCTED TOUR THROUGH MEXICO AND CALFIORNIA - BREAKFAST,2
,2
DINNER,6
[DINNER],2
LUNCHEON,2
BREAKFAST,2
BREAKFAST,2
SPRING DINNER,4
BREALFAST,2
25TH ANNUAL MEETING & BANQUET,4
BANQUET,4
BREAKFAST,2
LUNCH,2
LUNCHEON,2
BREAKFAST,2
LUNCH,2
DINNER,2
DAILY MENU,2
DAILY MENU,2
CLUB DINNER,2
LUNCHEON,2
DAILY MENU,2
DAILY MENU,2
DINNER,2
TABLE d'HOTE DINNER,2
[DINNER],2
DINNER,4
MENU,2
LUNCH,2
DINNER,2
LUNCHEON,2
LUNCHEON,2
SUPPER,2
BREAKFAST,2
LUNCHEON,2
LUNCH & DINNER,4
A LA CARTE MENU,4
BREAKFAST,2
LUNCH,2
DINNER,2
[BREAKFAST],2
DINNER,4
FAREWELL DINNER TO MR. WILLIAM CLARK,4
ST. VALENTINES DAY DINNER,4
BREAKFAST,2
DINNER,2
LUNCHEON,2
DINNER,2
LUNCH,2
DINNER,2
BREAKFAST,2
,2
CAFE SERVICE MEALS,2
CAFE SERVICE MEALS,2
DINING CAR SERVICE MEALS,2
DINING CAR SERVICE MEALS,2
DINING CAR SERVICE MEALS,2
DINING CAR SERVICE MEALS,2
DINING CAR SERVICE MEALS,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
SUPPER,2
SUPPER,2
LUNCHEON,2
DINNER,2
SPECIAL LUNCHEON,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCH,2
DINNER,4
LUNCHEON,2
TABLE D'HOTE DINNER - FROM 12.30 TO 2.30 & 5.30 TO 8 P.M.,2
DINNER,2
DINNER-A LA CARTE,2
DINNER,2
[LUNCH],2
BILL OF FARE - BREAKFAST & SUPPER,4
LUNCH,2
LUNCHEON,2
LUNCHEON,2
DINNER,2
MENU,2
DINNER,2
,2
DINNER,4
DINNER,4
CAFE/HALF PORTION BREAKFAST,2
BREAKFAST,2
DINNER,4
[DINNER],2
MENU,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
DINNER TO ALBERT STETTHEIMER,8
NINTH ANNUAL DINNER OF MASTERS' AND PAST MASTERS' ASSOCIATION,4
BREAKFAST,2
LUNCHEON,2
DINNER,2
DAILY MENU,2
HAZEL'S PURE FOOD LUNCHEON,12
BREAKFAST,2
LUNCHEON,2
[?DINNER?],2
DINNER,2
BREAKFAST,2
LUNCH,2
BREAKFAST,2
LUNCH,2
DINNER,2
LUNCHEON,2
DINNER,2
ANNUAL DINNER,8
WINE LIST,2
BREAKFAST,2
LUNCH,2
LUNCHEON,2
LUNCH,4
BREAKFAST,2
DINNER,2
DINNER,4
LUNCHEON,2
BREAKDAST,2
DINNER;,2
TIFFIN,2
DINNER,4
BREAKFAST,2
LUNCHEON,2
DINNER,2
,2
BREAKFAST,2
WEDDING DINNER,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
BILL OF FARE,2
BREAKFAST,2
,2
LUNCHEON,2
BREAKFAST,2
DINNER,2
DINNER,2
SPECIAL LENTEN DISHES,2
DINNER,2
,2
DINNER ON THE EVE OF HIS DEPARTURE,2
DINNER,2
[DINNER],2
DINNER,2
LUNCH & DINNER,4
DINNER,4
LUNCHEON,2
LE PETIT SOUPER,2
,2
DINNER,2
DAILY MENU,2
DINNER,4
DINNER,4
SUPPER,2
BREAKFAST,2
BREAKFAST,2
LUNCHEON,2
LUNCH,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
DAILY MENU,4
BREAKFAST,2
LUNCHEON,2
DINNER,2
LUNCHEON,2
DINNER,4
MENU,2
DAILY MENU,2
BREAKFAST,2
DINNER,2
LUNCH,2
LUNCH,2
DINNER,2
TIFFIN,2
BREAKFAST,2
LUNCHEON,2
TIFFIN,2
TIFFIN,2
DINNER,2
CHRISTMAS DINNER,4
CHRISTMAS DINNER,2
LUNCH,2
TOUR OF THE PRESIDENT TO THE PACIFIC COAST-BREAKFAST,2
TOUR OF THE PRESIDENT TO THE PACIFIC COAST-DINNER,2
DINNER,2
LUNCH -PRESIDENTIAL TOUR TO THE PACIFIC COAST,2
LUNCH ON TOUR OF THE PRESIDENT TO THE PACIFIC COAST,2
DINNER ON LAST DAY,2
BREAKFAST,2
LUNCH,2
DINNER,2
DINNER ON,2
LUNCHEON,2
LUNCHEON - SECOND CABIN,2
DINNER - SECOND CABIN,2
SUPPER,2
DINNER,2
DINNER,2
LUNCHEON,2
DINNER,2
BREAKFAST - SECOND CABIN,2
DINNER - SECOND CABIN,4
BREAKFAST (?),2
LUNCH,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
DINER,4
TIFFIN,2
DINNER,2
EXAMINATION PAPER,4
SUPPER,2
LUNCH,2
[BREAKFAST],2
MENU,2
,2
LUNCHEON,2
SUPPER,2
BREAKFAST,2
BREAKFAST,2
ANNUAL DINNER,2
TIFFIN,2
TIFFIN,2
DINNER,2
BREAKFAST,2
[BREAKFAST],2
BREAKFAST,2
BREAKFAST,2
LUNCH AND/OR DINNER,2
BREAKFAST,2
LUNCH,2
DINNER,2
DINNER,2
MENU,4
BREAKFAST,2
LUNCHEON - SECOND CABIN,2
DINNER - SECOND CABIN,2
TIFFIN,2
DINNER,2
DAILY MENU; LUNCH,2
DAILY MENU; DINNER,2
WINE LIST,2
FIRST ANNUAL BANQUET,12
THANKSGIVING DINNER,8
BANQUET IN HONOR OF THE THIRD ANNUAL CONVENTION OF ABOVE,2
,2
TABLE D'HOTE LUNCHEON,2
DINNER,2
BREAKFAST,2
MENU,4
DINNER,2
LUNCH OR DINNER,8
BREAKFAST,2
LUNCH,2
A LA CARTE MENU,2
TABLE D'HOTE MENU,2
LUNCHEON,4
DINNER,4
BANQUET,2
DINNER,2
DINNER,4
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCH,2
BREAKFAST,2
BREALFAST,2
DINNER,2
BREAKFAST,2
TIFFIN,2
SECOND ANNIVERSARY DINNER,8
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
BREAKFAST,2
LUNCH,2
DINNER,4
BREAKFAST,2
LUNCHEON,2
EN ROUTE TO BOSTON AND RETURN,2
,2
DINNER,2
DINNER,2
TIFFIN,2
DINNER,2
TIFFIN,2
DINNER,2
BREAKFAST,2
DINNER,2
DINNER,2
SUPPER,2
BREAKFAST,2
DAILY MENU,4
LUNCH,2
DINNER,4
DINNER,4
DINNER,2
LUNCH,2
BREAKFAST,2
LUNCH,2
DINNER,4
LUNCHEON,2
DINNER,2
DINNER,2
DINNER,2
MITTAGESSEN,2
ABENDESSEN,2
BREAKFAST,2
LUNCH,2
DINNER,4
MITTAGESSES,2
PRESIDENTIAL TOUR TO THE PACIFIC COAST,2
JULY FOURTH DINNER,4
LUNCHEON - SECOND CABIN,2
BREAKFAST - SECOND CABIN,2
DINNER - SECOND CABIN,4
BREAKFAST,2
TIFFIN,2
DINHNER,2
LUNCHEON,2
DINNER,2
[DINNER],2
BANQUET,8
LUNCH,2
TIFFIN,2
TIFFIN,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
,2
,2
DINNER,4
BREAKFAST,2
TIFFIN,2
DINNER,2
DINNER,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
BREAKFAST,2
TIFFIN,2
DINNER,2
EVENING MEAL,2
DINNER-SECOND CABIN,2
BREAKFAST-SECOND CABIN,2
DINER D'ADIEU,2
DINNER,4
LUNCHEON,2
DINNER,2
DINNER,4
BREAKFAST,2
LUNCH,2
MITTAGESSEN[DINNER],2
DAILY MENU,2
DINNER,2
BREAKFAST,2
LUNCH,2
LUNCH,2
BREAKFAST,2
LUNCH,2
MITTAGESSEN [DINNER],2
BREAKFAST,2
LUNCHEON,2
SUPPER,2
BREAKFAST,2
LUNCHEON,2
SUPPER,2
INERNATIONAL YACHT RACES,4
BREAKFAST,2
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
SEE ABOVE,2
LUNCH,2
LUNCHEON,2
,2
MITTAGESSEN;,2
LUNCH,2
SUPPER (?),2
DINNER,2
SUPPER(?),2
LUNCHEON,2
LUNCHEON,2
DINNER,2
DINNER,2
MENU,4
DINNER,2
DINNER,2
9NTH DANZINGER MARTINI FEST,4
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
[LUNCH],2
BREAKFAST,2
LUNCHEON,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
DINNER,4
LUNCH,2
BREAKFAST,2
DINNER,2
LUNCHEON,2
SUNDAY DINNER,2
[DINNER],2
DINNER - SECOND CABIN,2
SUPPER (?),2
LUNCHEON,2
BREAKFAST - SECOND CABIN,2
LUNCHEON - SECOND CABIN,2
QUICK LUNCHEON AND AFTERNOON TEA,4
DAILY MENU,4
BREAKFAST,4
DINNER,4
DINNER,2
LUNCH & DINNER,4
BREAKFAST,2
BUFFET SERVICE [BREAKFAST],2
BREAKFAST,4
DINNER,2
[BREAKFAST],2
[LUNCH],2
BREAKFAST,2
,2
DINNER,2
WINE LIST,2
LUNCH,2
TABLE D'HOTE DINNER,2
MITTAGESSEN,2
DINNER,2
MENU,2
LUNCHEON,2
SUPPER,2
LUNCHEON,4
DINNER,4
BREAKFAST,4
DINNER,2
DINNER,2
DINNER,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
DINNER,4
BREAKFAST,2
SUPPER,2
[LUNCH],2
MITTAGESSEN [DINNER],2
BREAKFAST,2
LUNCHEON,2
LUNCHEON,2
DINNER,2
BREAKFAST,2
BREAKFAST,2
DINNER,4
LUNCH,2
DINNER,2
LUNCH,4
DINNER,4
[LUNCH] SPEISE-KARTE,2
MITTAGESSEN,2
BREAKFAST,2
[DINNER],4
DINNER,2
BREAKFAST,2
DINNER,4
BREAKFAST,2
[LUNCH],2
LUNCH,4
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
LUNCH,2
BREAKFAST,2
DINNER,2
CHRISTMAS DINNER,4
FRUHSTUCK-BREAKFAST,4
LUNCHEON,2
DINNER,2
BREAKFAST,2
BREAKFAST,2
DINNER,2
DINNER (?),2
DINNER,2
LUNCH,2
BREAKFAST,2
ANNIVERSARY DINNER,2
DINNER,2
BREAKFAST,2
DINNER,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
TURKEY DINNER,2
BREAKFAST,2
MENU,2
SUPPER,2
,2
,2
DINNER,2
[ANNUAL DINNER?],2
LUNCHEON,2
DINNER,2
DINNER,4
?,2
ANNUAL BANQUET TENDERED TO THEIR REPRESENTATIVES,4
DINNER,2
DINNER,2
BREAKFAST,2
DINNER,2
LUNCH,2
LUNCHEON,2
LUNCH,2
LUNCH,2
FRUHSTUCK-BREAKFAST,2
,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
FRUHSTUCK-BREAKFAST,2
DINNER,4
DINNER,2
DINNER,2
DINNER,4
BREAKFAST,2
DINNER,4
DINNER,2
BREAKFAST,2
LUNCH,2
BREAKFAST,2
LUNCH,2
LUNCH SECOND CABIN,2
DINNER SECOND CABIN,2
DINNER,2
BREAKFAST,2
LUNCH,2
LUNCH SECOND CABIN,2
DINNER,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,8
,8
,4
,4
,2
,2
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,4
,2
,4
,2
,2
,4
,2
,4
,2
,2
,2
,5
,8
,2
,2
,2
,2
,2
,4
,4
,8
,4
,4
,2
,2
,4
,2
,2
,2
,4
,4
,2
,4
,4
,4
,2
,2
,2
,4
,2
,8
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,2
,2
,4
,4
,2
,2
,2
,4
,2
,4
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,4
,4
,4
,2
,2
,2
,4
,8
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,8
,2
,2
,2
,2
,4
,4
,4
,2
,2
,2
,4
,10
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,8
,6
,2
,2
,4
,2
,2
,8
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,22
,14
,16
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,4
,2
,2
,8
,2
,4
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,10
,2
,2
,2
,2
,2
,4
,4
,4
,2
,2
,2
,4
,4
,2
,2
,4
,2
,2
,4
,8
,2
,2
,2
,2
,2
,2
,2
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,4
,2
,2
,2
,2
,2
,4
,4
,8
,2
,2
,8
,2
,2
,6
,4
,2
,2
,2
,2
,4
,2
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,6
,2
,22
,2
,2
,2
,2
,4
,2
,4
,10
,2
,4
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,8
,2
,2
,2
,2
,2
,2
,4
,2
,2
,4
,4
,2
,2
,2
,8
,2
,2
,2
,4
,2
,4
,2
,3
,7
,2
,2
,6
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,4
,4
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,8
,2
,2
,4
,4
,4
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,4
,4
,4
,2
,2
,2
,2
,2
,2
,8
,4
,2
,2
,6
,4
,4
,2
,4
,4
,2
,2
,4
,2
,4
,4
,2
,4
,2
,2
,4
,4
,4
,4
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,4
,2
,8
,4
,2
,2
,4
,4
,2
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,8
,8
,2
,12
,40
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,2
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,8
,4
,2
,2
,2
,4
,2
,2
,12
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,4
,4
,4
,2
,7
,4
,4
,16
,2
,2
,2
,2
,4
,2
,2
,2
,2
,6
,2
,4
,4
,2
,8
,2
,2
,2
,2
,4
,2
,3
,4
,2
,4
,4
,2
,2
,2
,4
,2
,2
,2
,8
,2
,2
,2
,2
,2
,4
,6
,4
,4
,2
,2
,2
,4
,2
,4
,4
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,16
,2
,2
,2
,2
,2
,4
,4
,2
,2
,2
,2
,2
,3
,4
,2
,2
,4
,4
,2
,2
,2
,2
,4
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,2
,2
,4
,2
,4
,4
,4
,4
,4
,2
,2
,4
,2
,4
,2
,2
,4
,8
,4
,6
,18
,23
,6
,14
,8
,24
,8
,2
,4
,4
,4
,4
,2
,2
,2
,2
,2
,2
,2
,2
,4
,4
,4
,2
,2
,2
,2
,2
,2
,4
,4
,2
,2
,2
,2
,8
,3
,4
,2
,2
,2
,2
,2
,2
,2
,4
,2
,4
,4
,2
,4
,4
,4
,4
,2
,2
,2
,4
,4
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,4
,4
,2
,2
,2
,2
,4
,2
,2
,2
,4
,8
,8
,12
,4
,2
,2
,4
,2
,2
,8
,12
,4
,4
,4
,2
,2
,2
,2
,4
,2
,2
,2
,4
,4
,2
,2
,4
,2
,2
,2
,2
,20
,2
,2
,2
,2
,2
,4
,4
,2
,2
,2
,4
,4
,2
,2
,8
,2
,2
,2
,2
,2
,2
,4
,4
,8
,2
,12
,5
,8
,4
,4
,12
,16
,4
,4
,8
,28
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,4
,4
,2
LUNCH SECOND CABIN,2
DINNER,2
LUNCH,2
LUNCH,2
DINNER,4
BREAKFAST,2
LUNCH,2
BREAKFAST,4
LUNCH,2
LUNCH,2
DINNER,4
DINNER,4
BREAKFAST,2
DINNER,4
TIFFIN,2
DINNER,4
BREAKFAST,2
[DINNER],4
BREAKFAST,2
LUNCH,2
[DINNER],4
BREAKFAST,2
[DINNER],4
DINNER,2
BREAKFAST,2
TIFFIN,2
TIFFIN,2
TIFFIN,2
BREAKFAST,2
DINNER,2
TIFFIN,2
,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
DINNER,4
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
DINNER,4
BREAKFAST,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
LUNCHEON,2
LUNCH,2
LUNCH,2
DINNER,4
DINNER,2
DINNER,4
BREAKFAST,2
DINNER,4
BREAKFAST,2
[LUNCH?],2
BREAKFAST,2
LUNCH,2
DINNER,4
BREAKFAST,2
SUPPER,2
SUPPER,2
DINNER,2
LUNCHEON,2
DINNER,2
LUNCHEON,2
LUNCHEON - SECOND CABIN,2
DINNER - SECOND CABIN,2
DINNER,2
,2
DINNER,2
BREAKFAST,2
TIFFIN,2
DINNER,2
DINNER,2
BREAKFAST,2
TIFFIN,2
TIFFIN,2
BREAKFAST,2
TIFFIN,2
LUNCH,2
BREAKFAST,2
LUNCH,2
LUNCH,2
MIDDAY DINNER,2
MIDDAY DINNER,2
MIDDAY DINNER,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,4
BREAKFAST,4
DINNER,2
BREAKFAST,2
,2
DINNER,2
DINNER,2
LUNCHEON,2
LUNCH,2
DINNER,4
,4
LUNCH,2
LUNCH,2
DINNER,4
DINNER,2
BREAKFAST,2
LUNCHEON,2
,2
,2
,2
PAN AMERICAN EXPOSITION,2
LUNCHEON,2
DINNER,2
,4
,4
DINNER,4
MENU,4
BREAKFAST,2
BREAKFAST,2
DINNER,2
LUNCHEON,2
DINNER,2
LUNCHEON,2
DINNER,2
DINNER,2
DINNER,2
BREAKFAST,2
BREAKFAST,2
TIFFIN,2
BREAKFAST,2
TIFFIN,2
DINNER,2
DINNER,2
DINNER,2
DINNER,2
DINNER,2
DINNER,2
DINNER,2
LUNCHEON,2
LUNCHEON,2
LUNCHEON,2
BREAKFAST,2
TIFFIN,2
DINNER,2
DINNER,2
DINNER,2
BREAKFAST,2
TIFFIN,2
BREAKFAST,2
TIFFIN,2
BREAKFAST,2
BREAKFAST,2
LUNCH,2
SPEISE-KARTE,2
MITTAGESSEN,2
SPEISE-KARTE,2
MITTAGESSEN,4
,2
BREAKFAST,2
DINNER,2
DINNER,3
SPEISE-KARTE,2
MIDDAY MEAL,2
LUNCH,2
DINNER,4
MIDDAY MEAL,2
MIDDAY MEAL,2
BREAKFAST,2
BREAKFAST,2
LUNCHEON - SECOND CABIN,2
DINNER,2
LUNCHEON,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
LUNCHEON,2
DINNER,2
LUNCHEON,2
DINNER,2
BREAKFAST,2
LUNCHEON,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
DINNER,2
[BREAKFAST],2
[LUNCHEON],2
[LUNCHEON],2
BREAKFAST,2
BREAKFAST,2
LUNCH,2
DINNER,2
DINNER,2
BREAKFAST,2
LUNCH,2
DINNER,2
LUNCH,2
BREAKFAST,2
DINNER,4
TIFFIN,2
[DINNER],4
[DINNER],4
BREAKFAST,2
LUNCH,2
SUPPER,2
TIFFIN,2
BREAKFAST,2
TIFFIN,2
BREAKFAST,2
,2
LUNCH,2
DINNER,4
DINNER,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
DINNER,2
DINNER,2
SUPPER (?),2
FRUHSTUCK/BREAKFAST,2
FRUHSTUCK/LUNCH,4
DINNER,4
FRUHSTUCK,2
FRUHSTUCK/LUNCH,4
MITTAGESSEN,4
MITTAGESSEN,2
MITTAGESEN,4
FRUHSTUCK,2
BREAKFAST,4
DINNER,2
LUNCH,2
BREAKFAST,2
LUNCH,2
SUPPER(?),2
BREAKFAST,2
MIDDAY MEAL,2
SUPPER(?),2
DINNER,4
BREAKFAST,2
BREAKFAST,4
LUNCH,2
LUNCH,2
DINNER,4
LUNCH,2
LUNCH,2
LUNCH,2
LUNCH,2
DINNER,2
DINNER,2
BREAKFAST,2
LUNCH,2
DINNER,4
MITAGESSEN,2
BREAKFAST,2
DINNER,4
LUNCH,2
LUNCH,2
BREAKFAST,2
LUNCH,2
LUNCH SECOND CABIN,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
BREAKFAST,2
DINNER,4
DINNER,4
DINNER,4
DINNER,2
DINNER,2
DINNER,2
LUNCH,2
LUNCHEON,2
BREAKFAST,2
DINNER,2
BREAKFAST,2
BREAKFAST,2
LUNCHEON,2
DINNER,2
(?LUNCH?),2
MITTAGESSEN,2
DINNER,2
BREAKFAST,2
LUNCH,2
MITTAGESSEN,2
DINNER,4
LUNCH,2
LUNCH (?),2
LUNCH,4
LUNCH,4
DINNER,4
[LUNCH],2
DINNER,2
LUNCH,4
LUNCH,2
LUNCH,2
LUNCH,2
DINNER,4
BREAKFAST,4
BREAKFAST,2
DINNER SECOND CABIN,2
BREAKFAST,4
LUNCH,2
DINNER,2
BREAKFAST,2
DINNER,4
LUNCH,2
BREAKFAST,2
DINNER,4
BREAKFAST,2
LUNCH,2
BREAKFAST,2
DINNER,4
,2
,2
,8
,4
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,8
,4
,4
,4
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,4
,4
,4
,2
,2
,2
,4
,2
,4
,2
,2
,2
,2
,2
,4
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,10
,2
,2
,2
,4
,2
,2
,2
,2
,4
,6
,2
,8
,2
,6
,4
,4
,2
,2
,2
,2
,2
,2
,2
,4
,2
,4
,2
,2
,2
,4
,2
,4
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,4
,2
,2
,4
,2
,8
,2
,2
,2
,4
,2
,2
,2
,2
,2
,4
,2
,2
,4
,4
,2
,2
,2
,2
,4
,4
,2
,4
,4
,4
,4
,4
,2
,2
,2
,4
,2
,8
,4
,2
,2
,2
,2
,2
,2
,2
,10
,2
,4
,2
,4
,2
,2
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,8
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,4
,2
,4
,2
,8
,4
,2
,2
,4
,4
,2
,2
,2
,2
,4
,2
,2
,2
,4
,4
,4
,2
,2
,2
,4
,2
,2
,2
,2
,4
,2
,2
,2
,4
,2
,4
,4
,4
,4
,16
,4
,4
,2
,4
,4
,4
,2
,4
,4
,2
,2
,2
,2
,4
,2
,2
,2
,4
,4
,2
,12
,8
,2
,4
,8
,4
,2
